,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
366,PDX,RDM,"Portland, OR","Bend, OR",42,72,4,116,1995-08-01,1721558,94869,45.58869934,-122.5979996,44.2541008,-121.1500015
422,EKO,RDM,"Elko, NV","Bend, OR",157,248,2,362,1996-05-01,45034,98602,40.8249015808105,-115.791999816895,44.2541008,-121.1500015
698,PDX,RDM,"Portland, OR","Bend, OR",2084,4470,149,116,2002-10-01,2010666,125468,45.58869934,-122.5979996,44.2541008,-121.1500015
751,SFO,RDM,"San Francisco, CA","Bend, OR",1724,2670,89,462,2003-01-01,8306286,129322,37.6189994812012,-122.375,44.2541008,-121.1500015
916,PDX,RDM,"Portland, OR","Bend, OR",0,0,21,116,2005-05-01,2084053,140962,45.58869934,-122.5979996,44.2541008,-121.1500015
1197,PDX,RDM,"Portland, OR","Bend, OR",185,222,3,116,2007-11-01,2163577,153405,45.58869934,-122.5979996,44.2541008,-121.1500015
1449,PDX,RDM,"Portland, OR","Bend, OR",69,70,1,116,2008-12-01,2203745,157730,45.58869934,-122.5979996,44.2541008,-121.1500015
1457,PDX,RDM,"Portland, OR","Bend, OR",0,0,24,116,2008-07-01,2203745,157730,45.58869934,-122.5979996,44.2541008,-121.1500015
1566,AZA,RDM,"Phoenix, AZ","Bend, OR",912,1200,8,911,2009-09-01,4364094,158629,33.30780029,-111.6549988,44.2541008,-121.1500015
1604,PDX,RDM,"Portland, OR","Bend, OR",767,1190,17,116,2009-05-01,2241841,158629,45.58869934,-122.5979996,44.2541008,-121.1500015
1686,SLC,RDM,"Salt Lake City, UT","Bend, OR",1758,2700,54,526,2009-02-01,1130293,158629,40.7883987426758,-111.977996826172,44.2541008,-121.1500015
2051,COS,EKO,"Colorado Springs, CO","Elko, NV",70,119,1,605,1992-02-01,433799,38698,38.805801391602,-104.70099639893,40.8249015808105,-115.791999816895
2077,BZN,EKO,"Bozeman, MT","Elko, NV",115,119,1,414,1992-02-01,54103,38698,45.77750015,-111.1529999,40.8249015808105,-115.791999816895
2192,AUS,EKO,"Austin, TX","Elko, NV",99,124,1,1247,1992-09-01,901055,38698,30.1944999694824,-97.6698989868164,40.8249015808105,-115.791999816895
2488,YKM,EKO,"Yakima, WA","Elko, NV",96,124,1,462,1993-11-01,203827,40259,46.56819916,-120.5439987,40.8249015808105,-115.791999816895
2966,DSM,EKO,"Des Moines, IA","Elko, NV",122,124,1,1152,1993-11-01,436844,40259,41.5340003967285,-93.6631011962891,40.8249015808105,-115.791999816895
3055,MKE,EKO,"Milwaukee, WI","Elko, NV",211,248,2,1439,1994-05-01,1459322,41668,42.9472007751465,-87.896598815918,40.8249015808105,-115.791999816895
3063,BNA,EKO,"Nashville, TN","Elko, NV",79,124,1,1603,1994-07-01,1135689,41668,36.1245002746582,-86.6781997680664,40.8249015808105,-115.791999816895
3196,BFF,EKO,"Scottsbluff, NE","Elko, NV",231,248,2,637,1994-10-01,37508,41668,41.87400055,-103.5960007,40.8249015808105,-115.791999816895
3397,BTM,EKO,"Butte, MT","Elko, NV",121,124,1,391,1994-01-01,34684,41668,45.9547996520996,-112.497001647949,40.8249015808105,-115.791999816895
3476,SLC,EKO,"Salt Lake City, UT","Elko, NV",426,496,4,200,1994-05-01,852741,41668,40.7883987426758,-111.977996826172,40.8249015808105,-115.791999816895
3614,LWS,EKO,"Lewiston, ID","Elko, NV",170,248,2,388,1994-05-01,55942,41668,46.3745002746582,-117.014999389648,40.8249015808105,-115.791999816895
3634,MFR,EKO,"Medford, OR","Elko, NV",119,124,1,382,1994-02-01,161883,41668,42.3741989135742,-122.873001098633,40.8249015808105,-115.791999816895
3879,EAU,EKO,"Eau Claire, WI","Elko, NV",115,124,1,1260,1995-10-01,142164,42918,44.8657989501953,-91.4842987060547,40.8249015808105,-115.791999816895
4350,FAT,EKO,"Fresno, CA","Elko, NV",115,124,1,350,1996-06-01,743479,45034,36.7761993408203,-119.718002319336,40.8249015808105,-115.791999816895
4648,BFF,EKO,"Scottsbluff, NE","Elko, NV",235,248,2,637,1996-09-01,37333,45034,41.87400055,-103.5960007,40.8249015808105,-115.791999816895
4714,GTF,EKO,"Great Falls, MT","Elko, NV",124,124,1,510,1996-02-01,80777,45034,47.48199844,-111.3710022,40.8249015808105,-115.791999816895
4757,CLM,EKO,"Port Angeles, WA","Elko, NV",81,124,1,631,1996-06-01,63114,45034,48.1202011108398,-123.5,40.8249015808105,-115.791999816895
4776,SBA,EKO,"Santa Barbara, CA","Elko, NV",106,124,1,494,1996-03-01,382215,45034,34.42620087,-119.8399963,40.8249015808105,-115.791999816895
5064,OMA,EKO,"Omaha, NE","Elko, NV",856,992,8,1037,1997-09-01,736106,47413,41.3031997680664,-95.8940963745117,40.8249015808105,-115.791999816895
5226,MCI,EKO,"Kansas City, MO","Elko, NV",232,248,2,1119,1997-05-01,1776103,47413,39.2976,-94.713898,40.8249015808105,-115.791999816895
5240,GFK,EKO,"Grand Forks, ND","Elko, NV",107,124,1,1041,1997-04-01,101431,47413,47.949299,-97.176102,40.8249015808105,-115.791999816895
5612,SLC,EKO,"Salt Lake City, UT","Elko, NV",244,248,2,200,1998-03-01,906185,48011,40.7883987426758,-111.977996826172,40.8249015808105,-115.791999816895
5644,LBF,EKO,"North Platte, NE","Elko, NV",124,124,1,789,1998-05-01,34913,48011,41.12620163,-100.6839981,40.8249015808105,-115.791999816895
5743,GEG,EKO,"Spokane, WA","Elko, NV",216,248,2,477,1998-11-01,408221,48011,47.6198997497559,-117.533996582031,40.8249015808105,-115.791999816895
5888,CID,EKO,"Cedar Rapids, IA","Elko, NV",111,124,1,1250,1998-01-01,228316,48011,41.8847007751465,-91.7108001708984,40.8249015808105,-115.791999816895
6026,SBN,EKO,"South Bend, IN","Elko, NV",121,122,1,1528,1999-11-01,308666,47319,41.7086982727051,-86.3172988891602,40.8249015808105,-115.791999816895
6158,ORD,EKO,"Chicago, IL","Elko, NV",117,122,1,1445,1999-08-01,17655010,47319,41.97859955,-87.90480042,40.8249015808105,-115.791999816895
6293,DAY,EKO,"Dayton, OH","Elko, NV",122,122,1,1658,1999-08-01,857208,47319,39.902400970459,-84.2193984985352,40.8249015808105,-115.791999816895
6515,RFD,EKO,"Rockford, IL","Elko, NV",95,122,1,1382,2000-08-01,321042,46863,42.1954002380371,-89.0971984863281,40.8249015808105,-115.791999816895
6607,ELP,EKO,"El Paso, TX","Elko, NV",122,124,1,813,2000-03-01,680942,46863,31.80719948,-106.3779984,40.8249015808105,-115.791999816895
6928,BTM,EKO,"Butte, MT","Elko, NV",97,122,1,391,2000-10-01,34520,46863,45.9547996520996,-112.497001647949,40.8249015808105,-115.791999816895
6967,AUS,EKO,"Austin, TX","Elko, NV",230,244,2,1247,2000-09-01,1265715,46863,30.1944999694824,-97.6698989868164,40.8249015808105,-115.791999816895
7062,EAU,EKO,"Eau Claire, WI","Elko, NV",112,122,1,1260,2000-05-01,148689,46863,44.8657989501953,-91.4842987060547,40.8249015808105,-115.791999816895
7199,MSP,EKO,"Minneapolis, MN","Elko, NV",120,124,1,1176,2001-08-01,3024111,46622,44.8819999695,-93.2218017578,40.8249015808105,-115.791999816895
7649,BLI,EKO,"Bellingham, WA","Elko, NV",113,122,1,642,2002-09-01,174980,45640,48.7928009033203,-122.53800201416,40.8249015808105,-115.791999816895
7883,ORD,EKO,"Chicago, IL","Elko, NV",163,244,2,1445,2002-11-01,18490270,45640,41.97859955,-87.90480042,40.8249015808105,-115.791999816895
8607,CRP,EKO,"Corpus Christi, TX","Elko, NV",77,122,1,1375,2004-11-01,406835,44964,27.7703990936279,-97.5011978149414,40.8249015808105,-115.791999816895
8670,MAF,EKO,"Midland, TX","Elko, NV",114,122,1,972,2004-07-01,119145,44964,31.9424991607666,-102.202003479004,40.8249015808105,-115.791999816895
8835,RNO,EKO,"Reno, NV","Elko, NV",1347,2430,81,230,2004-03-01,385049,44964,39.4990997314453,-119.767997741699,40.8249015808105,-115.791999816895
9385,VGT,EKO,"Las Vegas, NV","Elko, NV",169,396,22,320,2005-07-01,1708846,45801,36.21070098877,-115.19400024414,40.8249015808105,-115.791999816895
9732,PIT,ERI,"Pittsburgh, PA","Erie, PA",3130,6264,58,109,1990-02-01,2468674,275795,40.49150085,-80.23290253,42.0831270134,-80.1738667488
9742,PIT,ERI,"Pittsburgh, PA","Erie, PA",38,110,1,109,1990-05-01,2468674,275795,40.49150085,-80.23290253,42.0831270134,-80.1738667488
9807,PIT,ERI,"Pittsburgh, PA","Erie, PA",1832,3807,27,109,1991-10-01,2472127,277335,40.49150085,-80.23290253,42.0831270134,-80.1738667488
9924,PIT,ERI,"Pittsburgh, PA","Erie, PA",116,126,2,109,1992-01-01,2477012,278362,40.49150085,-80.23290253,42.0831270134,-80.1738667488
9938,PIT,ERI,"Pittsburgh, PA","Erie, PA",1610,2744,28,109,1993-04-01,2478989,279117,40.49150085,-80.23290253,42.0831270134,-80.1738667488
10077,PIT,ERI,"Pittsburgh, PA","Erie, PA",1465,3332,34,109,1995-08-01,2460192,280044,40.49150085,-80.23290253,42.0831270134,-80.1738667488
10136,PIT,ERI,"Pittsburgh, PA","Erie, PA",312,550,5,109,1996-12-01,2447532,280009,40.49150085,-80.23290253,42.0831270134,-80.1738667488
10159,PIT,ERI,"Pittsburgh, PA","Erie, PA",495,660,6,109,1996-06-01,2447532,280009,40.49150085,-80.23290253,42.0831270134,-80.1738667488
10240,PIT,ERI,"Pittsburgh, PA","Erie, PA",848,1211,12,109,1997-08-01,2432761,279513,40.49150085,-80.23290253,42.0831270134,-80.1738667488
10694,PIT,ERI,"Pittsburgh, PA","Erie, PA",174,200,4,109,2001-10-01,2418223,281524,40.49150085,-80.23290253,42.0831270134,-80.1738667488
10747,DTW,ERI,"Detroit, MI","Erie, PA",1289,2618,77,163,2001-11-01,8958464,281524,42.2123985290527,-83.353401184082,42.0831270134,-80.1738667488
10788,ACY,ERI,"Atlantic City, NJ","Erie, PA",103,122,1,345,2002-11-01,258169,281920,39.4575996398926,-74.5772018432617,42.0831270134,-80.1738667488
10808,STL,ERI,"St. Louis, MO","Erie, PA",13,50,1,584,2002-09-01,2733818,281920,38.7486991882324,-90.370002746582,42.0831270134,-80.1738667488
11008,PIT,ERI,"Pittsburgh, PA","Erie, PA",3916,5250,175,109,2004-05-01,2387819,279790,40.49150085,-80.23290253,42.0831270134,-80.1738667488
11065,CVG,ERI,"Cincinnati, OH","Erie, PA",2478,2976,93,316,2004-08-01,2083905,279790,39.0488014221,-84.6678009033,42.0831270134,-80.1738667488
11131,CLE,ERI,"Cleveland, OH","Erie, PA",0,0,56,98,2004-02-01,2128958,279790,41.4117012024,-81.8498001099,42.0831270134,-80.1738667488
11265,DTW,ERI,"Detroit, MI","Erie, PA",1957,2526,54,163,2005-09-01,8988796,278933,42.2123985290527,-83.353401184082,42.0831270134,-80.1738667488
11388,PIT,ERI,"Pittsburgh, PA","Erie, PA",2121,4000,79,109,2006-02-01,2361482,279929,40.49150085,-80.23290253,42.0831270134,-80.1738667488
11491,CLE,ERI,"Cleveland, OH","Erie, PA",30,100,2,98,2006-07-01,2106336,279929,41.4117012024,-81.8498001099,42.0831270134,-80.1738667488
11496,CLE,ERI,"Cleveland, OH","Erie, PA",816,1634,86,98,2006-08-01,2106336,279929,41.4117012024,-81.8498001099,42.0831270134,-80.1738667488
11512,CLE,ERI,"Cleveland, OH","Erie, PA",89,200,4,98,2006-12-01,2106336,279929,41.4117012024,-81.8498001099,42.0831270134,-80.1738667488
11517,CLE,ERI,"Cleveland, OH","Erie, PA",1102,2603,137,98,2006-01-01,2106336,279929,41.4117012024,-81.8498001099,42.0831270134,-80.1738667488
11597,GSO,ERI,"Greensboro, NC","Erie, PA",0,122,1,413,2007-11-01,696287,279804,36.0978012084961,-79.9373016357422,42.0831270134,-80.1738667488
11719,CLE,ERI,"Cleveland, OH","Erie, PA",26,50,1,98,2008-01-01,2094051,279647,41.4117012024,-81.8498001099,42.0831270134,-80.1738667488
11859,CLE,ERI,"Cleveland, OH","Erie, PA",0,0,21,98,2009-11-01,2091286,280291,41.4117012024,-81.8498001099,42.0831270134,-80.1738667488
12309,TLH,GYY,"Tallahassee, FL","Gary, IN",56,110,1,792,2004-06-01,336783,9332090,30.3964996337891,-84.3503036499023,41.6162986755371,-87.4128036499023
12461,DRT,GYY,"Del Rio, TX","Gary, IN",0,0,1,1138,2006-04-01,47241,9398855,29.3742008209,-100.927001953,41.6162986755371,-87.4128036499023
12993,OGG,ITO,"Kahului, HI","Hilo, HI",74,150,3,121,1990-11-01,101458,121458,20.8985996246338,-156.429992675781,19.721399307251,-155.048004150391
13002,OGG,ITO,"Kahului, HI","Hilo, HI",1312,3570,21,121,1990-04-01,101458,121458,20.8985996246338,-156.429992675781,19.721399307251,-155.048004150391
13034,OGG,ITO,"Kahului, HI","Hilo, HI",549,1758,16,121,1990-09-01,101458,121458,20.8985996246338,-156.429992675781,19.721399307251,-155.048004150391
13432,OGG,ITO,"Kahului, HI","Hilo, HI",36,50,1,121,1994-01-01,112610,135547,20.8985996246338,-156.429992675781,19.721399307251,-155.048004150391
13681,STL,ITO,"St. Louis, MO","Hilo, HI",349,433,1,4036,1996-11-01,2642938,138792,38.7486991882324,-90.370002746582,19.721399307251,-155.048004150391
13690,OGG,ITO,"Kahului, HI","Hilo, HI",0,0,13,121,1997-05-01,119053,140824,20.8985996246338,-156.429992675781,19.721399307251,-155.048004150391
13895,HNL,ITO,"Honolulu, HI","Hilo, HI",0,0,8,216,1999-07-01,864571,142390,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
13897,HNL,ITO,"Honolulu, HI","Hilo, HI",1303,1812,16,216,1999-07-01,864571,142390,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
13969,HNL,ITO,"Honolulu, HI","Hilo, HI",25195,45486,342,216,2000-10-01,875061,149095,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
13970,HNL,ITO,"Honolulu, HI","Hilo, HI",23507,44289,333,216,2000-09-01,875061,149095,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
13981,OGG,ITO,"Kahului, HI","Hilo, HI",311,452,4,121,2000-02-01,128754,149095,20.8985996246338,-156.429992675781,19.721399307251,-155.048004150391
14041,HNL,ITO,"Honolulu, HI","Hilo, HI",3704,8778,66,216,2001-09-01,877189,150881,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
14063,HNL,ITO,"Honolulu, HI","Hilo, HI",18147,30989,233,216,2001-06-01,877189,150881,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
14102,HNL,ITO,"Honolulu, HI","Hilo, HI",2612,3994,34,216,2002-04-01,882628,153170,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
14489,HNL,ITO,"Honolulu, HI","Hilo, HI",0,0,18,216,2005-03-01,900340,164887,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
14706,HNL,ITO,"Honolulu, HI","Hilo, HI",742,1147,31,216,2007-05-01,898695,173190,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
14752,HNL,ITO,"Honolulu, HI","Hilo, HI",6947,10500,210,216,2007-03-01,898695,173190,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
14974,HNL,ITO,"Honolulu, HI","Hilo, HI",42643,55404,453,216,2009-04-01,907574,177835,21.3187007904053,-157.921997070312,19.721399307251,-155.048004150391
15567,SFO,RNO,"San Francisco, CA","Reno, NV",1021,3550,25,192,1990-02-01,7436126,258859,37.6189994812012,-122.375,39.4990997314453,-119.767997741699
15573,SFO,RNO,"San Francisco, CA","Reno, NV",49,200,2,192,1990-02-01,7436126,258859,37.6189994812012,-122.375,39.4990997314453,-119.767997741699
15757,LAX,RNO,"Los Angeles, CA","Reno, NV",1261,2580,86,390,1991-11-01,22754058,265040,33.94250107,-118.4079971,39.4990997314453,-119.767997741699
15983,SJC,RNO,"San Jose, CA","Reno, NV",7309,8530,85,188,1991-06-01,1545325,265040,37.3625984191895,-121.929000854492,39.4990997314453,-119.767997741699
16327,LAX,RNO,"Los Angeles, CA","Reno, NV",2800,3584,28,390,1992-04-01,23010408,270629,33.94250107,-118.4079971,39.4990997314453,-119.767997741699
16706,SLC,RNO,"Salt Lake City, UT","Reno, NV",3352,4884,33,422,1993-04-01,833385,276956,40.7883987426758,-111.977996826172,39.4990997314453,-119.767997741699
16998,PDX,RNO,"Portland, OR","Reno, NV",5837,7990,56,444,1993-03-01,1653097,276956,45.58869934,-122.5979996,39.4990997314453,-119.767997741699
17226,SJC,RNO,"San Jose, CA","Reno, NV",367,420,3,188,1994-02-01,1590788,285459,37.3625984191895,-121.929000854492,39.4990997314453,-119.767997741699
17261,OAK,RNO,"Oakland, CA","Reno, NV",7941,10126,83,180,1994-03-01,3833198,285459,37.7212982177734,-122.221000671387,39.4990997314453,-119.767997741699
17415,DFW,RNO,"Dallas, TX","Reno, NV",141,182,1,1345,1994-03-01,8613622,285459,32.896800994873,-97.0380020141602,39.4990997314453,-119.767997741699
17937,PHX,RNO,"Phoenix, AZ","Reno, NV",87,122,1,601,1995-10-01,2661324,292936,33.4342994689941,-112.012001037598,39.4990997314453,-119.767997741699
18026,ORD,RNO,"Chicago, IL","Reno, NV",6630,8540,61,1671,1995-07-01,17155070,292936,41.97859955,-87.90480042,39.4990997314453,-119.767997741699
18051,SFO,RNO,"San Francisco, CA","Reno, NV",245,252,2,192,1995-03-01,7704224,292936,37.6189994812012,-122.375,39.4990997314453,-119.767997741699
18434,DFW,RNO,"Dallas, TX","Reno, NV",108,139,1,1345,1996-04-01,8994450,301240,32.896800994873,-97.0380020141602,39.4990997314453,-119.767997741699
18717,SEA,RNO,"Seattle, WA","Reno, NV",627,854,7,564,1996-06-01,5621538,301240,47.4490013122559,-122.30899810791,39.4990997314453,-119.767997741699
18977,MSP,RNO,"Minneapolis, MN","Reno, NV",5088,7748,52,1406,1997-04-01,2795024,309197,44.8819999695,-93.2218017578,39.4990997314453,-119.767997741699
19108,PDX,RNO,"Portland, OR","Reno, NV",8978,12460,89,444,1997-04-01,1800340,309197,45.58869934,-122.5979996,39.4990997314453,-119.767997741699
19111,PDX,RNO,"Portland, OR","Reno, NV",161,244,2,444,1997-06-01,1800340,309197,45.58869934,-122.5979996,39.4990997314453,-119.767997741699
19162,LAS,RNO,"Las Vegas, NV","Reno, NV",13435,16940,121,345,1997-03-01,1105005,309197,36.08010101,-115.1520004,39.4990997314453,-119.767997741699
19163,LAS,RNO,"Las Vegas, NV","Reno, NV",2958,3393,29,345,1997-06-01,1105005,309197,36.08010101,-115.1520004,39.4990997314453,-119.767997741699
19208,SEA,RNO,"Seattle, WA","Reno, NV",11496,14840,106,564,1997-02-01,5727624,309197,47.4490013122559,-122.30899810791,39.4990997314453,-119.767997741699
19327,OAK,RNO,"Oakland, CA","Reno, NV",65,107,1,180,1997-04-01,3942896,309197,37.7212982177734,-122.221000671387,39.4990997314453,-119.767997741699
19372,DFW,RNO,"Dallas, TX","Reno, NV",3042,4309,31,1345,1997-08-01,9231044,309197,32.896800994873,-97.0380020141602,39.4990997314453,-119.767997741699
19376,DFW,RNO,"Dallas, TX","Reno, NV",5472,9000,60,1345,1997-04-01,9231044,309197,32.896800994873,-97.0380020141602,39.4990997314453,-119.767997741699
19465,SLC,RNO,"Salt Lake City, UT","Reno, NV",42,128,1,422,1997-11-01,898848,309197,40.7883987426758,-111.977996826172,39.4990997314453,-119.767997741699
20193,PHX,RNO,"Phoenix, AZ","Reno, NV",2746,3646,28,601,1998-02-01,2930726,315959,33.4342994689941,-112.012001037598,39.4990997314453,-119.767997741699
20256,SEA,RNO,"Seattle, WA","Reno, NV",9919,13580,97,564,1998-11-01,5831556,315959,47.4490013122559,-122.30899810791,39.4990997314453,-119.767997741699
20519,PHX,RNO,"Phoenix, AZ","Reno, NV",8217,11212,85,601,1999-07-01,3013696,322804,33.4342994689941,-112.012001037598,39.4990997314453,-119.767997741699
20557,ORD,RNO,"Chicago, IL","Reno, NV",6466,12880,87,1671,1999-01-01,17655010,322804,41.97859955,-87.90480042,39.4990997314453,-119.767997741699
20579,ORD,RNO,"Chicago, IL","Reno, NV",6180,8680,62,1671,1999-09-01,17655010,322804,41.97859955,-87.90480042,39.4990997314453,-119.767997741699
20637,SFO,RNO,"San Francisco, CA","Reno, NV",2,133,1,192,1999-11-01,8068740,322804,37.6189994812012,-122.375,39.4990997314453,-119.767997741699
20777,SJC,RNO,"San Jose, CA","Reno, NV",130,234,2,188,1999-03-01,1698695,322804,37.3625984191895,-121.929000854492,39.4990997314453,-119.767997741699
21040,SAN,RNO,"San Diego, CA","Reno, NV",4129,9517,68,488,1999-10-01,2820844,322804,32.7336006165,-117.190002441,39.4990997314453,-119.767997741699
21315,PHX,RNO,"Phoenix, AZ","Reno, NV",9066,12604,92,601,2000-08-01,3278661,344808,33.4342994689941,-112.012001037598,39.4990997314453,-119.767997741699
21328,PHX,RNO,"Phoenix, AZ","Reno, NV",49,190,1,601,2000-07-01,3278661,344808,33.4342994689941,-112.012001037598,39.4990997314453,-119.767997741699
21479,ORD,RNO,"Chicago, IL","Reno, NV",5622,7822,59,1671,2000-04-01,18235464,344808,41.97859955,-87.90480042,39.4990997314453,-119.767997741699
21518,HOU,RNO,"Houston, TX","Reno, NV",319,685,5,1546,2000-01-01,4739414,344808,29.64539909,-95.27890015,39.4990997314453,-119.767997741699
21893,PDX,RNO,"Portland, OR","Reno, NV",2806,3538,29,444,2001-11-01,1975589,355153,45.58869934,-122.5979996,39.4990997314453,-119.767997741699
22030,PHX,RNO,"Phoenix, AZ","Reno, NV",4283,7124,52,601,2001-04-01,3388445,355153,33.4342994689941,-112.012001037598,39.4990997314453,-119.767997741699
22043,PHX,RNO,"Phoenix, AZ","Reno, NV",154,300,2,601,2001-09-01,3388445,355153,33.4342994689941,-112.012001037598,39.4990997314453,-119.767997741699
22139,SEA,RNO,"Seattle, WA","Reno, NV",2443,4658,34,564,2001-12-01,6188760,355153,47.4490013122559,-122.30899810791,39.4990997314453,-119.767997741699
22413,HOU,RNO,"Houston, TX","Reno, NV",0,122,1,1546,2001-04-01,4851189,355153,29.64539909,-95.27890015,39.4990997314453,-119.767997741699
22572,LAS,RNO,"Las Vegas, NV","Reno, NV",10281,16440,120,345,2002-11-01,1515571,365239,36.08010101,-115.1520004,39.4990997314453,-119.767997741699
23075,SLC,RNO,"Salt Lake City, UT","Reno, NV",1989,4384,32,422,2002-10-01,1001874,365239,40.7883987426758,-111.977996826172,39.4990997314453,-119.767997741699
23326,PDX,RNO,"Portland, OR","Reno, NV",438,685,5,444,2003-06-01,2034000,374743,45.58869934,-122.5979996,39.4990997314453,-119.767997741699
23477,MHR,RNO,"Sacramento, CA","Reno, NV",0,0,4,105,2003-07-01,1967052,374743,38.55390167,-121.2979965,39.4990997314453,-119.767997741699
23636,SLC,RNO,"Salt Lake City, UT","Reno, NV",344,548,4,422,2003-04-01,1016377,374743,40.7883987426758,-111.977996826172,39.4990997314453,-119.767997741699
23703,SFO,RNO,"San Francisco, CA","Reno, NV",4742,5450,109,192,2003-05-01,8306286,374743,37.6189994812012,-122.375,39.4990997314453,-119.767997741699
23840,PHX,RNO,"Phoenix, AZ","Reno, NV",11036,12594,96,601,2003-05-01,3600163,374743,33.4342994689941,-112.012001037598,39.4990997314453,-119.767997741699
23912,AMA,RNO,"Amarillo, TX","Reno, NV",126,130,1,1034,2003-06-01,232791,374743,35.2193984985352,-101.706001281738,39.4990997314453,-119.767997741699
24032,IAH,RNO,"Houston, TX","Reno, NV",95,130,1,1530,2003-05-01,5084017,374743,29.9843997955322,-95.3414001464844,39.4990997314453,-119.767997741699
24050,IAH,RNO,"Houston, TX","Reno, NV",114,130,1,1530,2003-11-01,5084017,374743,29.9843997955322,-95.3414001464844,39.4990997314453,-119.767997741699
24087,IAH,RNO,"Houston, TX","Reno, NV",4797,5358,30,1530,2004-06-01,5190444,385049,29.9843997955322,-95.3414001464844,39.4990997314453,-119.767997741699
24185,BNA,RNO,"Nashville, TN","Reno, NV",0,0,1,1815,2004-02-01,1416452,385049,36.1245002746582,-86.6781997680664,39.4990997314453,-119.767997741699
24490,PDX,RNO,"Portland, OR","Reno, NV",1665,3172,26,444,2004-03-01,2052776,385049,45.58869934,-122.5979996,39.4990997314453,-119.767997741699
24708,SEA,RNO,"Seattle, WA","Reno, NV",637,690,5,564,2004-08-01,6327406,385049,47.4490013122559,-122.30899810791,39.4990997314453,-119.767997741699
24940,SFO,RNO,"San Francisco, CA","Reno, NV",2117,3720,31,192,2004-01-01,8287044,385049,37.6189994812012,-122.375,39.4990997314453,-119.767997741699
25080,SLC,RNO,"Salt Lake City, UT","Reno, NV",6199,8190,117,422,2005-03-01,1044845,394881,40.7883987426758,-111.977996826172,39.4990997314453,-119.767997741699
25275,MSP,RNO,"Minneapolis, MN","Reno, NV",2387,3256,22,1406,2005-01-01,3132772,394881,44.8819999695,-93.2218017578,39.4990997314453,-119.767997741699
25430,YKM,RNO,"Yakima, WA","Reno, NV",64,150,1,490,2005-01-01,228163,394881,46.56819916,-120.5439987,39.4990997314453,-119.767997741699
25611,DFW,RNO,"Dallas, TX","Reno, NV",135,136,1,1345,2005-05-01,11632814,394881,32.896800994873,-97.0380020141602,39.4990997314453,-119.767997741699
25652,OMA,RNO,"Omaha, NE","Reno, NV",114,130,1,1262,2005-03-01,810493,394881,41.3031997680664,-95.8940963745117,39.4990997314453,-119.767997741699
25810,SEA,RNO,"Seattle, WA","Reno, NV",146,150,1,564,2005-10-01,6404776,394881,47.4490013122559,-122.30899810791,39.4990997314453,-119.767997741699
25868,GEG,RNO,"Spokane, WA","Reno, NV",0,0,1,572,2005-12-01,440145,394881,47.6198997497559,-117.533996582031,39.4990997314453,-119.767997741699
26536,MHR,RNO,"Sacramento, CA","Reno, NV",0,0,15,105,2006-04-01,2050618,402383,38.55390167,-121.2979965,39.4990997314453,-119.767997741699
26856,TOL,RNO,"Toledo, OH","Reno, NV",150,150,1,1885,2006-07-01,673647,402383,41.58679962,-83.80780029,39.4990997314453,-119.767997741699
26876,DFW,RNO,"Dallas, TX","Reno, NV",4330,5416,30,1345,2006-09-01,11998822,402383,32.896800994873,-97.0380020141602,39.4990997314453,-119.767997741699
26933,OMA,RNO,"Omaha, NE","Reno, NV",0,0,4,1262,2007-10-01,829183,410616,41.3031997680664,-95.8940963745117,39.4990997314453,-119.767997741699
27769,MSP,RNO,"Minneapolis, MN","Reno, NV",3,16,1,1406,2007-12-01,3204196,410616,44.8819999695,-93.2218017578,39.4990997314453,-119.767997741699
27806,LAX,RNO,"Los Angeles, CA","Reno, NV",2109,3000,60,390,2007-06-01,25385206,410616,33.94250107,-118.4079971,39.4990997314453,-119.767997741699
27984,PDX,RNO,"Portland, OR","Reno, NV",3834,7809,57,444,2008-06-01,2203745,416657,45.58869934,-122.5979996,39.4990997314453,-119.767997741699
28056,SEA,RNO,"Seattle, WA","Reno, NV",52,70,1,564,2008-07-01,6713274,416657,47.4490013122559,-122.30899810791,39.4990997314453,-119.767997741699
28057,SEA,RNO,"Seattle, WA","Reno, NV",9671,11482,152,564,2008-07-01,6713274,416657,47.4490013122559,-122.30899810791,39.4990997314453,-119.767997741699
28212,OAK,RNO,"Oakland, CA","Reno, NV",0,0,22,180,2008-07-01,4260236,416657,37.7212982177734,-122.221000671387,39.4990997314453,-119.767997741699
28759,ORD,RNO,"Chicago, IL","Reno, NV",4934,5828,31,1671,2008-03-01,19031272,416657,41.97859955,-87.90480042,39.4990997314453,-119.767997741699
